#_Bundle,#_Iteration,#_Agents,#_Attackers,Linar_Speed,Field_Len,Pzone_Len,Sim_Time,defense_time,Result
6,1,55,55,1,50,10,60,26.1,1
6,2,55,55,1,50,10,60,26,1
6,3,55,55,1,50,10,60,21.7,1
6,4,55,55,1,50,10,60,27,1
6,5,55,55,1,50,10,60,25,1
6,6,55,55,1,50,10,60,25.2,1
6,7,55,55,1,50,10,60,22.2,1
6,8,55,55,1,50,10,60,26.4,1
6,9,55,55,1,50,10,60,24.8,1
6,10,55,55,1,50,10,60,23.6,1
6,11,55,55,1,50,10,60,25.7,1
6,12,55,55,1,50,10,60,23.8,1
6,13,55,55,1,50,10,60,25.4,1
6,14,55,55,1,50,10,60,26,1
6,15,55,55,1,50,10,60,24.5,1
6,16,55,55,1,50,10,60,23.4,1
6,17,55,55,1,50,10,60,22.3,1
6,18,55,55,1,50,10,60,22.9,1
6,19,55,55,1,50,10,60,26.4,1
6,20,55,55,1,50,10,60,25.6,1
6,21,55,55,1,50,10,60,24.8,1
6,22,55,55,1,50,10,60,25.2,1
6,23,55,55,1,50,10,60,24.7,1
6,24,55,55,1,50,10,60,25.9,1
6,25,55,55,1,50,10,60,24.7,1
7,1,5,5,1,100,20,60,42.9,0
7,2,5,5,1,100,20,60,57,0
7,3,5,5,1,100,20,60,45.3,0
7,4,5,5,1,100,20,60,46,0
7,5,5,5,1,100,20,60,43.9,0
7,6,5,5,1,100,20,60,53.3,0
7,7,5,5,1,100,20,60,57.5,0
7,8,5,5,1,100,20,60,60,2
7,9,5,5,1,100,20,60,60,2
7,10,5,5,1,100,20,60,45.2,0
7,11,5,5,1,100,20,60,45.6,0
7,12,5,5,1,100,20,60,47.3,0
7,13,5,5,1,100,20,60,44.3,0
7,14,5,5,1,100,20,60,46.1,0
7,15,5,5,1,100,20,60,43.2,0
7,16,5,5,1,100,20,60,45.1,0
7,17,5,5,1,100,20,60,40.9,0
7,18,5,5,1,100,20,60,47.9,0
7,19,5,5,1,100,20,60,45.9,0
7,20,5,5,1,100,20,60,39.8,0
7,21,5,5,1,100,20,60,44.4,0
7,22,5,5,1,100,20,60,47.5,0
7,23,5,5,1,100,20,60,44.7,0
7,24,5,5,1,100,20,60,47.3,0
7,25,5,5,1,100,20,60,54.1,0
8,1,15,15,1,100,20,60,44,0
8,2,15,15,1,100,20,60,46.6,0
8,3,15,15,1,100,20,60,55.7,0
8,4,15,15,1,100,20,60,44.2,0
8,5,15,15,1,100,20,60,60,2
8,6,15,15,1,100,20,60,48.1,0
8,7,15,15,1,100,20,60,60,2
8,8,15,15,1,100,20,60,41.4,0
8,9,15,15,1,100,20,60,45.7,0
8,10,15,15,1,100,20,60,44.1,0
8,11,15,15,1,100,20,60,60,2
8,12,15,15,1,100,20,60,41.9,0
