#_Bundle,#_Iteration,#_Agents,#_Attackers,Linar_Speed,Field_Len,Pzone_Len,Sim_Time,defense_time,Result
7,24,5,5,1,50,10,300,37.2,0
7,25,5,5,1,50,10,300,26,0
8,1,15,15,1,50,10,300,29.1,1
8,2,15,15,1,50,10,300,24.7,0
8,3,15,15,1,50,10,300,33.3,0
8,4,15,15,1,50,10,300,34.1,0
8,5,15,15,1,50,10,300,29.2,0
8,6,15,15,1,50,10,300,40.2,0
8,7,15,15,1,50,10,300,28.6,0
8,8,15,15,1,50,10,300,36,1
8,9,15,15,1,50,10,300,23,0
8,10,15,15,1,50,10,300,24,0
8,11,15,15,1,50,10,300,32.2,1
8,12,15,15,1,50,10,300,30.8,1
8,13,15,15,1,50,10,300,25.6,0
8,14,15,15,1,50,10,300,27.8,0
8,15,15,15,1,50,10,300,29,1
8,16,15,15,1,50,10,300,33.7,1
8,17,15,15,1,50,10,300,34.1,1
8,18,15,15,1,50,10,300,26.6,0
8,19,15,15,1,50,10,300,31.9,1
8,20,15,15,1,50,10,300,19.9,0
8,21,15,15,1,50,10,300,33.8,1
8,22,15,15,1,50,10,300,33.1,0
8,23,15,15,1,50,10,300,33.1,1
8,24,15,15,1,50,10,300,28.8,0
8,25,15,15,1,50,10,300,35.6,0
9,1,25,25,1,50,10,300,33.9,1
9,2,25,25,1,50,10,300,36.1,1
9,3,25,25,1,50,10,300,35,1
9,4,25,25,1,50,10,300,37.8,1
9,5,25,25,1,50,10,300,37.6,1
9,6,25,25,1,50,10,300,37,1
9,7,25,25,1,50,10,300,30,1
9,8,25,25,1,50,10,300,35.7,1
9,9,25,25,1,50,10,300,30.6,1
9,10,25,25,1,50,10,300,26.5,1
9,11,25,25,1,50,10,300,29.9,1
9,12,25,25,1,50,10,300,41.4,1
9,13,25,25,1,50,10,300,31.9,1
9,14,25,25,1,50,10,300,27.3,1
9,15,25,25,1,50,10,300,27,1
9,16,25,25,1,50,10,300,32.5,1
9,17,25,25,1,50,10,300,39.3,1
9,18,25,25,1,50,10,300,33.6,1
9,19,25,25,1,50,10,300,30.5,1
9,20,25,25,1,50,10,300,33.9,1
9,21,25,25,1,50,10,300,25.4,1
9,22,25,25,1,50,10,300,29.4,1
9,23,25,25,1,50,10,300,26.5,1
9,24,25,25,1,50,10,300,35.8,1
9,25,25,25,1,50,10,300,24.9,0
10,1,35,35,1,50,10,300,27.9,1
10,2,35,35,1,50,10,300,27.9,1
10,3,35,35,1,50,10,300,29.7,1
10,4,35,35,1,50,10,300,27.2,1
10,5,35,35,1,50,10,300,34.2,1
10,6,35,35,1,50,10,300,27.2,1
10,7,35,35,1,50,10,300,23.9,1
10,8,35,35,1,50,10,300,26.1,1
10,9,35,35,1,50,10,300,28.2,1
10,10,35,35,1,50,10,300,27.7,1
10,11,35,35,1,50,10,300,26,1
10,12,35,35,1,50,10,300,27.1,1
10,13,35,35,1,50,10,300,20.1,1
10,14,35,35,1,50,10,300,31.7,1
10,15,35,35,1,50,10,300,35.5,1
10,16,35,35,1,50,10,300,24,1
10,17,35,35,1,50,10,300,23.8,1
10,18,35,35,1,50,10,300,28.8,0
10,19,35,35,1,50,10,300,25.4,1
10,20,35,35,1,50,10,300,29.8,1
10,21,35,35,1,50,10,300,23.3,1
10,22,35,35,1,50,10,300,28.6,1
10,23,35,35,1,50,10,300,31,1
10,24,35,35,1,50,10,300,26,1
10,25,35,35,1,50,10,300,26.8,1
11,1,45,45,1,50,10,300,27.2,0
11,2,45,45,1,50,10,300,30.7,1
11,3,45,45,1,50,10,300,26,1
11,4,45,45,1,50,10,300,25.1,1
11,5,45,45,1,50,10,300,24.6,1
11,6,45,45,1,50,10,300,26.8,1
11,7,45,45,1,50,10,300,30.5,1
11,8,45,45,1,50,10,300,25.5,1
